n_arms,n_steps,optimistic_init,variant,environment_seed,final_avg_reward,total_regret
10,1000,True,constant,20002,0.91,50.20287158891372
10,1000,True,constant,20003,0.771,79.17595166180044
10,1000,True,constant,20004,0.741,50.43811137584704
10,1000,True,constant,20005,0.962,40.79459207160738
10,1000,True,constant,20006,0.779,125.20174232517782
10,1000,True,constant,20007,0.938,47.45840539014129
10,1000,True,constant,20008,0.901,33.90753339038206
10,1000,True,constant,20009,0.868,67.20187110101277
10,1000,True,constant,20010,0.932,52.60868011841839
10,1000,True,constant,20011,0.758,132.2977691022522
10,1000,True,constant,20012,0.931,52.78801244395666
10,1000,True,constant,20013,0.675,114.63445768695011
10,1000,True,constant,20014,0.949,44.68108469148115
10,1000,True,constant,20015,0.844,49.47630404981768
10,1000,True,constant,20016,0.924,48.99634354826558
10,1000,True,constant,20017,0.932,45.919088848491235
10,1000,True,constant,20018,0.831,46.704230822047776
10,1000,True,constant,20019,0.797,47.11434686777373
10,1000,True,constant,20020,0.899,43.164015455992256
10,1000,True,constant,20021,0.875,49.407818125472325
10,1000,True,constant,20022,0.722,52.31425746836476
10,1000,True,constant,20023,0.912,53.72665199085994
10,1000,True,constant,20024,0.887,56.14064369561814
10,1000,True,constant,20025,0.621,56.47914312738157
10,1000,True,constant,20026,0.894,44.02297283739838
10,1000,True,constant,20027,0.485,25.88523746387978
10,1000,True,constant,20028,0.925,53.55270994450566
10,1000,True,constant,20029,0.911,63.14675901136333
10,1000,True,decay=0.9,20000,0.828,75.57353681229435
10,1000,True,decay=0.9,20001,0.927,32.91925781585078
10,1000,True,decay=0.9,20002,0.948,8.215368147216648
10,1000,True,decay=0.9,20003,0.588,268.5173352185864
10,1000,True,decay=0.9,20004,0.767,24.58696679952003
10,1000,True,decay=0.9,20005,0.989,8.838572356514481
10,1000,True,decay=0.9,20006,0.567,333.48287243421476
10,1000,True,decay=0.9,20007,0.981,8.201327607169349
10,1000,True,decay=0.9,20008,0.899,33.05831747683031
10,1000,True,decay=0.9,20009,0.919,6.488955039009188
10,1000,True,decay=0.9,20010,0.975,7.243623906437091
10,1000,True,decay=0.9,20011,0.657,240.96583790685156
10,1000,True,decay=0.9,20012,0.98,9.547694586611806
10,1000,True,decay=0.9,20013,0.645,150.72718452884354
10,1000,True,decay=0.9,20014,0.98,8.530111211399939
10,1000,True,decay=0.9,20015,0.889,7.763754719538151
10,1000,True,decay=0.9,20016,0.964,6.399725570398882
10,1000,True,decay=0.9,20017,0.972,6.3855707810760585
10,1000,True,decay=0.9,20018,0.865,12.793997786860102
10,1000,True,decay=0.9,20019,0.836,8.321668476691919
10,1000,True,decay=0.9,20020,0.938,6.490854804673118
10,1000,True,decay=0.9,20021,0.913,7.75799393289509
10,1000,True,decay=0.9,20022,0.703,70.1630193781779
10,1000,True,decay=0.9,20023,0.946,18.30365759678192
10,1000,True,decay=0.9,20024,0.932,8.218633281640598
10,1000,True,decay=0.9,20025,0.674,5.750312269907801
10,1000,True,decay=0.9,20026,0.93,5.581010670399935
10,1000,True,decay=0.9,20027,0.356,156.87348085764535
10,1000,True,decay=0.9,20028,0.975,7.564394986635206
10,1000,True,decay=0.9,20029,0.969,8.207578287119695
10,1000,True,decay=0.95,20000,0.804,97.24496114161242
10,1000,True,decay=0.95,20001,0.927,33.516126655512885
10,1000,True,decay=0.95,20002,0.948,8.215368147216648
10,1000,True,decay=0.95,20003,0.587,268.70212823665645
10,1000,True,decay=0.95,20004,0.78,17.867100477476868
10,1000,True,decay=0.95,20005,0.989,8.838572356514481
10,1000,True,decay=0.95,20006,0.342,540.9969605341712
10,1000,True,decay=0.95,20007,0.98,8.807201185486322
10,1000,True,decay=0.95,20008,0.899,33.05831747683031
10,1000,True,decay=0.95,20009,0.919,6.488955039009188
10,1000,True,decay=0.95,20010,0.975,6.950562962494131
10,1000,True,decay=0.95,20011,0.657,240.96583790685156
10,1000,True,decay=0.95,20012,0.98,9.547694586611806
10,1000,True,decay=0.95,20013,0.645,150.60321562917096
10,1000,True,decay=0.95,20014,0.98,8.75000719756976
10,1000,True,decay=0.95,20015,0.886,8.260005508673329
10,1000,True,decay=0.95,20016,0.964,6.399725570398882
